LSOA Code,WIMD 2019 
W01001130,1843
W01001131,850
W01001132,1835
W01001133,1868
W01001134,1727
W01001135,1644
W01001136,1692
W01001137,444
W01001138,243
W01001139,841
W01001140,413
W01001141,288
W01001142,245
W01001143,992
W01001144,33
W01001145,506
W01001146,1069
W01001147,923
W01001148,586
W01001149,736
W01001150,273
W01001151,1366
W01001152,1166
W01001153,432
W01001154,451
W01001155,576
W01001156,1886
W01001157,1460
W01001158,658
W01001159,1753
W01001160,1602
W01001161,1371
W01001162,501
W01001164,813
W01001165,737
W01001166,191
W01001167,551
W01001168,695
W01001169,220
W01001170,1537
W01001171,742
W01001172,853
W01001173,96
W01001174,83
W01001175,680
W01001176,652
W01001177,471
W01001178,823
W01001179,175
W01001180,51
W01001181,463
W01001182,642
W01001183,268
W01001184,1130
W01001185,390
W01001186,996
W01001187,691
W01001188,176
W01001189,657
W01001190,1609
W01001191,1649
W01001192,257
W01001193,1744
W01001194,1812
W01001195,1139
W01001196,1736
W01001197,1879
W01001198,1712
W01001199,1670
W01001200,534
W01001201,159
W01001202,120
W01001203,52
W01001204,1015
W01001205,468
W01001206,474
W01001207,136
W01001208,359
W01001209,6
W01001210,275
W01001211,429
W01001212,356
W01001213,579
W01001214,1451
W01001215,141
W01001216,493
W01001217,262
W01001218,698
W01001219,110
W01001220,730
W01001221,101
W01001222,15
W01001223,1755
W01001224,1904
W01001225,1884
W01001226,1171
W01001227,1485
W01001228,994
W01001229,752
W01001230,1280
W01001231,415
W01001232,539
W01001233,707
W01001234,709
W01001235,480
W01001236,1297
W01001237,209
W01001238,26
W01001239,145
W01001240,1308
W01001241,1129
W01001242,1497
W01001243,438
W01001244,1518
W01001245,1651
W01001246,1193
W01001247,481
W01001248,611
W01001249,637
W01001250,805
W01001251,87
W01001252,1641
W01001253,577
W01001255,185
W01001256,682
W01001257,1423
W01001258,541
W01001259,554
W01001260,100
W01001261,306
W01001262,604
W01001263,839
W01001264,937
W01001265,487
W01001266,114
W01001267,248
W01001268,286
W01001269,869
W01001270,745
W01001271,410
W01001272,560
W01001273,860
W01001274,4
W01001275,198
W01001276,107
W01001277,1625
W01001278,668
W01001279,149
W01001280,121
W01001281,791
W01001282,344
W01001283,705
W01001284,1620
W01001285,639
W01001286,598
W01001287,403
W01001288,131
W01001289,483
W01001290,601
W01001291,1080
W01001292,65
W01001293,567
W01001294,1746
W01001295,127
W01001296,935
W01001297,629
W01001298,352
